Rank,Host,Port,TLS,Transport,Latency Avg,Speed Mbps,Status,Error
1,185.156.47.96,8443,tls,tcp,33.926963806152344,49.030596603819355,SUCCESS,
2,172.67.185.178,443,tls,ws,40.901501973470054,44.65546900680989,SUCCESS,
3,162.159.60.231,443,tls,ws,47.3633607228597,61.83165583757468,SUCCESS,
4,172.67.185.178,443,tls,ws,48.49592844645182,38.83574360915222,SUCCESS,
5,172.67.185.178,443,tls,ws,48.831780751546226,39.186330623546766,SUCCESS,
6,162.159.60.231,443,tls,ws,49.95274543762207,37.346897389178956,SUCCESS,
7,162.159.12.41,443,tls,ws,50.41805903116862,41.76610832361409,SUCCESS,
8,104.18.34.124,443,tls,ws,51.4677365620931,31.08883840386618,SUCCESS,
9,77.110.127.191,9443,none,ws,52.270968755086265,21.087700047448912,SUCCESS,
10,77.110.127.191,9443,none,ws,53.164005279541016,20.360575481944892,SUCCESS,
11,104.18.34.124,443,tls,ws,55.72899182637533,35.57241980300465,SUCCESS,
12,77.110.127.191,9443,none,ws,57.58984883626302,20.04467909451834,SUCCESS,
13,162.159.12.41,443,tls,ws,76.63607597351074,59.66483991308399,SUCCESS,
14,121.127.43.215,8443,tls,tcp,91.6140874226888,12.05803767791791,SUCCESS,
15,ov-canada1.09vpn.com,8443,tls,ws,92.92093912760417,7.049585127361089,SUCCESS,
16,162.159.44.195,443,tls,ws,95.75374921162923,22.3739022066222,SUCCESS,
17,162.159.44.195,443,tls,ws,102.65477498372395,18.27827351689087,SUCCESS,
18,dx.mmhh.eu.cc,443,tls,ws,125.07764498392741,53.791575957139145,SUCCESS,
19,162.159.44.195,443,tls,ws,125.4724661509196,19.57141748922839,SUCCESS,
20,yd.mmhh.eu.cc,443,tls,ws,129.5027732849121,46.91136391279973,SUCCESS,
21,18.192.50.101,443,none,tcp,144.3014144897461,6.445145324112454,SUCCESS,
22,18.192.50.101,443,none,tcp,144.7137991587321,6.602442600770859,SUCCESS,
23,151.115.164.43,8880,none,grpc,146.26336097717285,7.156204099974002,SUCCESS,
24,sca12.myfymain.com,8880,none,grpc,146.28148078918457,7.326005675321565,SUCCESS,
25,sca31.myfymain.com,8880,none,grpc,147.06174532572427,7.987047220422432,SUCCESS,
26,169.150.228.24,8443,tls,tcp,147.0948855082194,5.8577149095901255,SUCCESS,
27,151.115.164.43,8880,none,grpc,147.13406562805176,7.607962568780048,SUCCESS,
28,sca12.myfymain.com,8880,none,grpc,147.1571922302246,7.199148488625239,SUCCESS,
29,sca31.myfymain.com,8880,none,grpc,147.81729380289713,7.170907272433908,SUCCESS,
30,18.192.50.101,443,none,tcp,147.87761370340982,7.0629668204386835,SUCCESS,
31,18.192.50.101,443,none,tcp,147.92688687642416,7.2169225772732455,SUCCESS,
32,18.192.50.101,443,none,tcp,147.95549710591635,6.613499967577435,SUCCESS,
33,151.115.164.43,8880,none,grpc,148.2374668121338,7.1914137930886675,SUCCESS,
34,sca31.myfymain.com,8880,none,grpc,148.59382311503092,7.220684021564075,SUCCESS,
35,18.192.50.101,443,none,tcp,148.61241976420084,6.437391257469889,SUCCESS,
36,151.115.164.43,8880,none,grpc,148.8154729207357,7.125004485718005,SUCCESS,
37,18.192.50.101,443,none,tcp,149.0481694539388,6.61062307974944,SUCCESS,
38,151.115.165.172,8880,none,grpc,149.37448501586914,7.778117193210033,SUCCESS,
39,sca12.myfymain.com,8880,none,grpc,149.45832888285318,7.9091270584879885,SUCCESS,
40,151.115.165.172,8880,none,grpc,149.59160486857095,7.77574695244884,SUCCESS,
41,sca31.myfymain.com,8880,none,grpc,149.609645207723,7.212072037256233,SUCCESS,
42,18.192.50.101,443,none,tcp,149.7960090637207,7.256779055830673,SUCCESS,
43,sca31.myfymain.com,8880,none,grpc,149.8905817667643,7.21115912184626,SUCCESS,
44,sca31.myfymain.com,8880,none,grpc,150.3579616546631,6.897139514299962,SUCCESS,
45,151.115.164.43,8880,none,grpc,150.43226877848306,7.032900404228322,SUCCESS,
46,sca19.myfymain.com,8880,none,grpc,150.4507859547933,7.111885814520234,SUCCESS,
47,151.115.164.120,8880,none,grpc,150.61084429423013,3.372191187532882,SUCCESS,
48,151.115.165.172,8880,none,grpc,150.79069137573242,7.02414059320714,SUCCESS,
49,151.115.164.43,8880,none,grpc,150.8014996846517,7.029183283269674,SUCCESS,
50,151.115.164.43,8880,none,grpc,150.95718701680502,7.014188319982006,SUCCESS,
51,18.192.50.101,443,none,tcp,151.34414037068686,6.445968689601038,SUCCESS,
52,151.115.164.43,8880,none,grpc,151.3988971710205,7.020322561612716,SUCCESS,
53,18.192.50.101,443,none,tcp,151.65336926778158,7.0552755662135835,SUCCESS,
54,sca12.myfymain.com,8880,none,grpc,151.73697471618652,6.9878687462149705,SUCCESS,
55,18.192.50.101,443,none,tcp,151.8098513285319,6.3818424332472325,SUCCESS,
56,18.192.50.101,443,none,tcp,152.09547678629556,7.2653786451198155,SUCCESS,
57,151.115.165.172,8880,none,grpc,152.12464332580566,6.993271922939529,SUCCESS,
58,18.192.50.101,443,none,tcp,152.18281745910645,6.467537539048262,SUCCESS,
59,sca31.myfymain.com,8880,none,grpc,152.18297640482584,7.051580700933313,SUCCESS,
60,sca12.myfymain.com,8880,none,grpc,152.29233105977377,6.958092104676527,SUCCESS,
61,sca31.myfymain.com,8880,none,grpc,152.36568450927734,7.728202208476822,SUCCESS,
62,sca31.myfymain.com,8880,none,grpc,152.45819091796875,7.044554543788353,SUCCESS,
63,sca12.myfymain.com,8880,none,grpc,152.47797966003418,7.030349708986156,SUCCESS,
64,sca12.myfymain.com,8880,none,grpc,152.56031354268393,6.963546137205453,SUCCESS,
65,18.192.50.101,443,none,tcp,152.66791979471842,7.088926067091045,SUCCESS,
66,151.115.164.117,8880,none,grpc,152.81208356221518,7.076206903314665,SUCCESS,
67,sca12.myfymain.com,8880,none,grpc,153.03301811218262,7.035069434616566,SUCCESS,
68,sca19.myfymain.com,8880,none,grpc,153.09596061706543,6.974262447050411,SUCCESS,
69,sca31.myfymain.com,8880,none,grpc,153.25284004211426,7.67408541787023,SUCCESS,
70,sca12.myfymain.com,8880,none,grpc,153.2602310180664,7.765561471980093,SUCCESS,
71,18.192.50.101,443,none,tcp,153.43030293782553,6.451826221719305,SUCCESS,
72,151.115.164.120,8880,none,grpc,153.6527474721273,2.2883984656456504,SUCCESS,
73,18.192.50.101,443,none,tcp,154.1417439778646,7.224566050402509,SUCCESS,
74,sca19.myfymain.com,8880,none,grpc,154.3114185333252,6.7106609217930275,SUCCESS,
75,sca31.myfymain.com,8880,none,grpc,155.19976615905762,7.065862619448371,SUCCESS,
76,151.115.164.43,8880,none,grpc,155.20564715067545,7.49970373936574,SUCCESS,
77,151.115.164.120,8880,none,grpc,155.411163965861,2.442537308923998,SUCCESS,
78,151.115.164.120,8880,none,grpc,155.7462215423584,1.6280589637577412,SUCCESS,
79,sca31.myfymain.com,8880,none,grpc,155.96493085225424,6.8453663602945305,SUCCESS,
80,144.31.171.103,4443,none,grpc,156.2495231628418,4.925310594859301,SUCCESS,
81,144.31.171.104,4443,none,grpc,156.27336502075195,7.470259160378081,SUCCESS,
82,18.192.50.101,443,none,tcp,156.28981590270996,6.450176707653359,SUCCESS,
83,144.31.171.103,4443,none,grpc,156.4031442006429,7.438654612686829,SUCCESS,
84,144.31.171.104,4443,none,grpc,156.64776166280112,3.5515964513706186,SUCCESS,
85,144.31.171.103,4443,none,grpc,157.06713994344076,6.7667745443164184,SUCCESS,
86,sca31.myfymain.com,8880,none,grpc,157.1535269419352,6.753922393491327,SUCCESS,
87,151.115.164.43,8880,none,grpc,157.69433975219727,6.753351474068945,SUCCESS,
88,151.115.164.43,8880,none,grpc,158.2961082458496,7.326261604477359,SUCCESS,
89,sca12.myfymain.com,8880,none,grpc,158.9341163635254,6.7778556808401085,SUCCESS,
90,165.231.33.235,443,tls,tcp,159.77915128072104,7.29409447680643,SUCCESS,
91,sca23.myfymain.com,8880,none,grpc,159.91910298665366,4.622154289584693,SUCCESS,
92,sca23.myfymain.com,8880,none,grpc,160.62704722086588,4.9362588805984755,SUCCESS,
93,sca23.myfymain.com,8880,none,grpc,160.89685757954916,7.695022883649422,SUCCESS,
94,sca16.myfymain.com,8880,none,grpc,161.08997662862143,1.573940452305279,SUCCESS,
95,165.231.33.236,443,tls,tcp,161.6690158843994,7.280180498592865,SUCCESS,
96,sca16.myfymain.com,8880,none,grpc,163.0852222442627,1.5566028750995131,SUCCESS,
97,144.31.171.101,4443,none,grpc,163.6046568552653,7.169661572570255,SUCCESS,
98,sca23.myfymain.com,8880,none,grpc,165.5000845591227,7.035036985149961,SUCCESS,
99,sca23.myfymain.com,8880,none,grpc,165.9082571665446,7.159780280323319,SUCCESS,
100,152.233.28.198,8443,tls,tcp,166.11719131469727,6.736617584525855,SUCCESS,
101,sca16.myfymain.com,8880,none,grpc,166.66762034098306,1.6071732053371794,SUCCESS,
102,sca23.myfymain.com,8880,none,grpc,166.87997182210287,6.88921793990521,SUCCESS,
103,196.199.104.132,443,tls,tcp,166.9288476308187,7.648532200056439,SUCCESS,
104,151.115.164.120,8880,none,grpc,167.06331570943198,6.235088075942447,SUCCESS,
105,196.199.104.131,443,tls,tcp,167.2686735788981,7.3188213695315945,SUCCESS,
106,196.199.104.132,443,tls,tcp,167.5574779510498,7.2665665579388286,SUCCESS,
107,165.231.33.236,443,tls,tcp,167.62399673461914,7.304442473630201,SUCCESS,
108,sca23.myfymain.com,8880,none,grpc,167.79756546020508,6.757961004767006,SUCCESS,
109,165.231.33.235,443,tls,tcp,167.97836621602377,7.622327767232363,SUCCESS,
110,196.199.104.131,443,tls,tcp,168.27948888142905,7.296397490892668,SUCCESS,
111,196.199.104.131,443,tls,tcp,168.45146814982095,7.310845050383698,SUCCESS,
112,uk.noooo.win,443,tls,tcp,168.69091987609863,7.689743008586395,SUCCESS,
113,152.233.28.198,8443,tls,tcp,168.81092389424643,6.847851650430592,SUCCESS,
114,152.233.28.196,8443,tls,tcp,168.9739227294922,6.711169611357599,SUCCESS,
